time	V(vc)
2.267586169872928e-03	4.263405e+00
2.267603397990749e-03	4.263377e+00
2.267624506611860e-03	4.263343e+00
2.267649428189086e-03	4.263303e+00
2.267683714710864e-03	4.263248e+00
2.267729348721726e-03	4.263175e+00
2.267780919712753e-03	4.263093e+00
2.267840221760351e-03	4.262997e+00
2.267909084230686e-03	4.262887e+00
2.267993688375221e-03	4.262751e+00
2.268162896664292e-03	4.262480e+00
2.268406256610209e-03	4.262089e+00
2.268413861608519e-03	4.262077e+00
2.268415963526633e-03	4.262074e+00
2.268416364863706e-03	4.262073e+00
2.268416890245479e-03	4.262072e+00
2.268416938667330e-03	4.262072e+00
2.268417035511030e-03	4.262072e+00
2.268417207303165e-03	4.262072e+00
2.268417383942565e-03	4.262071e+00
2.268417737221366e-03	4.262071e+00
2.268418443778968e-03	4.262070e+00
2.268419856894172e-03	4.262067e+00
2.268422683124581e-03	4.262063e+00
2.268428335585398e-03	4.262054e+00
2.268439640507031e-03	4.262036e+00
2.268462250350298e-03	4.261999e+00
2.268507470036831e-03	4.261927e+00
2.268597909409898e-03	4.261782e+00
2.268721722670504e-03	4.261583e+00
2.268967868789887e-03	4.261189e+00
2.269441251963753e-03	4.260429e+00
2.269832820945378e-03	4.259802e+00
2.269839463023518e-03	4.259791e+00
2.269852747179799e-03	4.259770e+00
2.269879315492358e-03	4.259727e+00
2.269932452117477e-03	4.259642e+00
2.270042046406786e-03	4.259467e+00
2.270058218063962e-03	4.259441e+00
2.270074389721139e-03	4.259415e+00
