time	V(a)	V(b)	V(vc)	V(vr)	V(vs)
2.355047377499227e-04	5.865170e+00	4.264937e+00	5.595620e-01	1.489820e+01	1.021036e-01
2.452703627499227e-04	5.865170e+00	4.264937e+00	5.825872e-01	1.489820e+01	1.021036e-01
2.550359877499227e-04	5.865170e+00	4.264937e+00	6.055724e-01	1.489820e+01	1.021036e-01
2.642718915614289e-04	5.865170e+00	4.264937e+00	6.272704e-01	1.489820e+01	1.021036e-01
2.740375165614289e-04	5.865170e+00	4.264937e+00	6.501701e-01	1.489820e+01	1.021036e-01
2.838031415614289e-04	5.865170e+00	4.264937e+00	6.730270e-01	1.489820e+01	1.021036e-01
2.935687665614289e-04	5.865170e+00	4.264937e+00	6.958403e-01	1.489820e+01	1.021036e-01
3.033343915614289e-04	5.865170e+00	4.264937e+00	7.186101e-01	1.489820e+01	1.021036e-01
3.131000165614290e-04	5.865170e+00	4.264937e+00	7.413363e-01	1.489820e+01	1.021036e-01
3.228656415614290e-04	5.865170e+00	4.264937e+00	7.640189e-01	1.489820e+01	1.021036e-01
3.326312665614290e-04	5.865170e+00	4.264937e+00	7.866578e-01	1.489820e+01	1.021036e-01
